carrier,effectiveDate,expirationDate,lastUpdateDate,updatedBy,fuelSurchargeRate,currency,productGroup
BNSF,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.19,USD,ALL
CN,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.5175,CAD,ALL
CN,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.435,USD,ALL
CPRS,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.4468,CAD,ALL
CPRS,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.335,USD,ALL
CSXT,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0,USD,DRY
CSXT,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0,USD,LIQUID
CSXT,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0,USD,AMMONIA
CSXT,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0,USD,DEF
CSXT,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.5,USD,METHANOL
GWI,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.64,USD,ALL
KCS,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.46,USD,ALL
LSRC,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.5,USD,ALL
NS,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.37,USD,ALL
TCWR,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.38,USD,ALL
UP,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.38,USD,ALL
WSOR,2/1/2024,3/27/2024,3/28/2024 14:19,Abraham Rodriguez,0.6,USD,ALL
BNSF,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.2,USD,ALL
CN,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.5434,CAD,ALL
CN,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.4545,USD,ALL
CPRS,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.5057,CAD,ALL
CPRS,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.375,USD,ALL
CSXT,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0,USD,DRY
CSXT,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0,USD,LIQUID
CSXT,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0,USD,AMMONIA
CSXT,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0,USD,DEF
CSXT,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.52,USD,METHANOL
GWI,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.66,USD,ALL
KCS,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.48,USD,ALL
LSRC,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.52,USD,ALL
NS,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.39,USD,ALL
TCWR,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.39,USD,ALL
UP,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.39,USD,ALL
WSOR,3/28/2024,4/29/2024,3/28/2024 14:19,Abraham Rodriguez,0.62,USD,ALL
BNSF,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.2,USD,ALL
CN,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.5372,CAD,ALL
CN,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.448,USD,ALL
CPRS,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.5091,CAD,ALL
CPRS,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.375,USD,ALL
CSXT,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0,USD,DRY
CSXT,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0,USD,LIQUID
CSXT,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0,USD,AMMONIA
CSXT,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0,USD,DEF
CSXT,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.51,USD,METHANOL
GWI,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.66,USD,ALL
KCS,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.48,USD,ALL
LSRC,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.51,USD,ALL
NS,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.38,USD,ALL
TCWR,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.39,USD,ALL
UP,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.39,USD,ALL
WSOR,4/30/2024,,4/30/2024 10:29,Dirk Townsend,0.62,USD,ALL
